Resumed Training Logs

Epoch [670/2000], Discriminator Loss: 1.2645, Generator Loss: 0.9038
Epoch [671/2000], Discriminator Loss: 1.1875, Generator Loss: 0.9449
Epoch [672/2000], Discriminator Loss: 1.2666, Generator Loss: 0.9462
Epoch [673/2000], Discriminator Loss: 1.1768, Generator Loss: 0.9609
Epoch [674/2000], Discriminator Loss: 1.1391, Generator Loss: 1.0199
Epoch [675/2000], Discriminator Loss: 1.1463, Generator Loss: 0.9417
Epoch [676/2000], Discriminator Loss: 1.2509, Generator Loss: 0.9516
Epoch [677/2000], Discriminator Loss: 1.2719, Generator Loss: 0.9554
Epoch [678/2000], Discriminator Loss: 1.2391, Generator Loss: 0.9844
Epoch [679/2000], Discriminator Loss: 1.1582, Generator Loss: 0.9543
Epoch [680/2000], Discriminator Loss: 1.1293, Generator Loss: 0.9751
Epoch [681/2000], Discriminator Loss: 1.2779, Generator Loss: 0.9304
Epoch [682/2000], Discriminator Loss: 1.2310, Generator Loss: 0.9056
Epoch [683/2000], Discriminator Loss: 1.2072, Generator Loss: 0.9132
Epoch [684/2000], Discriminator Loss: 1.2554, Generator Loss: 0.9871
Epoch [685/2000], Discriminator Loss: 1.1043, Generator Loss: 0.9571
Epoch [686/2000], Discriminator Loss: 1.1659, Generator Loss: 0.9765
Epoch [687/2000], Discriminator Loss: 1.2385, Generator Loss: 0.9627
Epoch [688/2000], Discriminator Loss: 1.1875, Generator Loss: 0.9578
Epoch [689/2000], Discriminator Loss: 1.1920, Generator Loss: 0.9536
Epoch [690/2000], Discriminator Loss: 1.2238, Generator Loss: 0.9630
Epoch [691/2000], Discriminator Loss: 1.2645, Generator Loss: 1.0450
Epoch [692/2000], Discriminator Loss: 1.1512, Generator Loss: 1.0213
Epoch [693/2000], Discriminator Loss: 1.2087, Generator Loss: 1.0320
Epoch [694/2000], Discriminator Loss: 1.2198, Generator Loss: 0.9688
Epoch [695/2000], Discriminator Loss: 1.2161, Generator Loss: 0.9440
Epoch [696/2000], Discriminator Loss: 1.1729, Generator Loss: 0.9992
Epoch [697/2000], Discriminator Loss: 1.1556, Generator Loss: 0.9952
Epoch [698/2000], Discriminator Loss: 1.1613, Generator Loss: 0.9572
Epoch [699/2000], Discriminator Loss: 1.3005, Generator Loss: 0.9274
Epoch [700/2000], Discriminator Loss: 1.2456, Generator Loss: 0.9470
Epoch [701/2000], Discriminator Loss: 1.2337, Generator Loss: 1.0470
Epoch [702/2000], Discriminator Loss: 1.1428, Generator Loss: 1.0004
Epoch [703/2000], Discriminator Loss: 1.1312, Generator Loss: 0.9990
Epoch [704/2000], Discriminator Loss: 1.1545, Generator Loss: 0.9932
Epoch [705/2000], Discriminator Loss: 1.2431, Generator Loss: 0.9491
Epoch [706/2000], Discriminator Loss: 1.2416, Generator Loss: 0.9658
Epoch [707/2000], Discriminator Loss: 1.2627, Generator Loss: 0.9241
Epoch [708/2000], Discriminator Loss: 1.2339, Generator Loss: 0.9564
Epoch [709/2000], Discriminator Loss: 1.1488, Generator Loss: 1.0183
Epoch [710/2000], Discriminator Loss: 1.1788, Generator Loss: 0.9707
Epoch [711/2000], Discriminator Loss: 1.1739, Generator Loss: 0.9698
Epoch [712/2000], Discriminator Loss: 1.1516, Generator Loss: 0.9823
Epoch [713/2000], Discriminator Loss: 1.1527, Generator Loss: 1.0043
Epoch [714/2000], Discriminator Loss: 1.0503, Generator Loss: 1.0430
Epoch [715/2000], Discriminator Loss: 1.1310, Generator Loss: 1.0151
Epoch [716/2000], Discriminator Loss: 1.0687, Generator Loss: 1.0422
Epoch [717/2000], Discriminator Loss: 1.1959, Generator Loss: 0.9724
Epoch [718/2000], Discriminator Loss: 1.2974, Generator Loss: 0.9593
Epoch [719/2000], Discriminator Loss: 1.1946, Generator Loss: 0.9417
Epoch [720/2000], Discriminator Loss: 1.3373, Generator Loss: 0.8998
Epoch [721/2000], Discriminator Loss: 1.2812, Generator Loss: 0.8898
Epoch [722/2000], Discriminator Loss: 1.1249, Generator Loss: 0.9586
Epoch [723/2000], Discriminator Loss: 1.1615, Generator Loss: 0.9867
Epoch [724/2000], Discriminator Loss: 1.1709, Generator Loss: 1.0156
Epoch [725/2000], Discriminator Loss: 1.2537, Generator Loss: 0.9472
Epoch [726/2000], Discriminator Loss: 1.1463, Generator Loss: 0.9552
Epoch [727/2000], Discriminator Loss: 1.1904, Generator Loss: 1.0225
Epoch [728/2000], Discriminator Loss: 1.2525, Generator Loss: 0.9632
Epoch [729/2000], Discriminator Loss: 1.1683, Generator Loss: 0.9951
Epoch [730/2000], Discriminator Loss: 1.1583, Generator Loss: 0.9912
Epoch [731/2000], Discriminator Loss: 1.2080, Generator Loss: 0.9417
Epoch [732/2000], Discriminator Loss: 1.2234, Generator Loss: 0.9770
Epoch [733/2000], Discriminator Loss: 1.1905, Generator Loss: 0.9185
Epoch [734/2000], Discriminator Loss: 1.2364, Generator Loss: 0.8921
Epoch [735/2000], Discriminator Loss: 1.2818, Generator Loss: 0.9340
Epoch [736/2000], Discriminator Loss: 1.2174, Generator Loss: 0.9239
Epoch [737/2000], Discriminator Loss: 1.1693, Generator Loss: 0.9640
Epoch [738/2000], Discriminator Loss: 1.2619, Generator Loss: 0.9462
Epoch [739/2000], Discriminator Loss: 1.1695, Generator Loss: 0.9673
Epoch [740/2000], Discriminator Loss: 1.2147, Generator Loss: 0.9672
Epoch [741/2000], Discriminator Loss: 1.3017, Generator Loss: 0.9247
Epoch [742/2000], Discriminator Loss: 1.2072, Generator Loss: 0.9251
Epoch [743/2000], Discriminator Loss: 1.2896, Generator Loss: 0.9554
Epoch [744/2000], Discriminator Loss: 1.1657, Generator Loss: 0.9510
Epoch [745/2000], Discriminator Loss: 1.1634, Generator Loss: 1.0053
Epoch [746/2000], Discriminator Loss: 1.2365, Generator Loss: 0.9389
Epoch [747/2000], Discriminator Loss: 1.2443, Generator Loss: 0.9224
Epoch [748/2000], Discriminator Loss: 1.1238, Generator Loss: 1.0012
Epoch [749/2000], Discriminator Loss: 1.2026, Generator Loss: 0.9834
Epoch [750/2000], Discriminator Loss: 1.1916, Generator Loss: 0.9113
Epoch [751/2000], Discriminator Loss: 1.1760, Generator Loss: 0.9817
Epoch [752/2000], Discriminator Loss: 1.1622, Generator Loss: 0.9741
Epoch [753/2000], Discriminator Loss: 1.1382, Generator Loss: 0.9722
Epoch [754/2000], Discriminator Loss: 1.2067, Generator Loss: 0.9511
