Training Logs

Epoch [287/3000], Discriminator Loss: 1.1850, Generator Loss: 0.9308
Epoch [288/3000], Discriminator Loss: 1.2798, Generator Loss: 0.9033
Epoch [289/3000], Discriminator Loss: 1.3200, Generator Loss: 0.8288
Epoch [290/3000], Discriminator Loss: 1.2380, Generator Loss: 0.8631
Epoch [291/3000], Discriminator Loss: 1.1770, Generator Loss: 0.9264
Epoch [292/3000], Discriminator Loss: 1.3007, Generator Loss: 0.8317
Epoch [293/3000], Discriminator Loss: 1.3659, Generator Loss: 0.7865
Epoch [294/3000], Discriminator Loss: 1.3012, Generator Loss: 0.8424
Epoch [295/3000], Discriminator Loss: 1.1657, Generator Loss: 0.9483
Epoch [296/3000], Discriminator Loss: 1.2343, Generator Loss: 0.8880
Epoch [297/3000], Discriminator Loss: 1.2979, Generator Loss: 0.8132
Epoch [298/3000], Discriminator Loss: 1.3166, Generator Loss: 0.8142
Epoch [299/3000], Discriminator Loss: 1.2343, Generator Loss: 0.8899
Epoch [300/3000], Discriminator Loss: 1.1677, Generator Loss: 0.8823
Epoch [301/3000], Discriminator Loss: 1.2866, Generator Loss: 0.8344
Epoch [302/3000], Discriminator Loss: 1.2755, Generator Loss: 0.8219
Epoch [303/3000], Discriminator Loss: 1.2043, Generator Loss: 0.8887
Epoch [304/3000], Discriminator Loss: 1.2080, Generator Loss: 0.9089
Epoch [305/3000], Discriminator Loss: 1.2146, Generator Loss: 0.8606
Epoch [306/3000], Discriminator Loss: 1.2688, Generator Loss: 0.7950
Epoch [307/3000], Discriminator Loss: 1.2714, Generator Loss: 0.8060
Epoch [308/3000], Discriminator Loss: 1.2106, Generator Loss: 0.8603
Epoch [309/3000], Discriminator Loss: 1.2532, Generator Loss: 0.8736
Epoch [310/3000], Discriminator Loss: 1.2801, Generator Loss: 0.8738
Epoch [311/3000], Discriminator Loss: 1.2583, Generator Loss: 0.8463
Epoch [312/3000], Discriminator Loss: 1.2149, Generator Loss: 0.8700
Epoch [313/3000], Discriminator Loss: 1.2963, Generator Loss: 0.8089
Epoch [314/3000], Discriminator Loss: 1.3109, Generator Loss: 0.8019
Epoch [315/3000], Discriminator Loss: 1.2061, Generator Loss: 0.8858
Epoch [316/3000], Discriminator Loss: 1.2673, Generator Loss: 0.8444
Epoch [317/3000], Discriminator Loss: 1.3627, Generator Loss: 0.7836
Epoch [318/3000], Discriminator Loss: 1.3115, Generator Loss: 0.8067
Epoch [319/3000], Discriminator Loss: 1.2026, Generator Loss: 0.8788
Epoch [320/3000], Discriminator Loss: 1.2848, Generator Loss: 0.8284
Epoch [321/3000], Discriminator Loss: 1.3145, Generator Loss: 0.8067
Epoch [322/3000], Discriminator Loss: 1.2327, Generator Loss: 0.8539
Epoch [323/3000], Discriminator Loss: 1.2758, Generator Loss: 0.8443
Epoch [324/3000], Discriminator Loss: 1.2719, Generator Loss: 0.8338
Epoch [325/3000], Discriminator Loss: 1.2648, Generator Loss: 0.8629
Epoch [326/3000], Discriminator Loss: 1.3031, Generator Loss: 0.8201
Epoch [327/3000], Discriminator Loss: 1.3209, Generator Loss: 0.8151
Epoch [328/3000], Discriminator Loss: 1.2362, Generator Loss: 0.8746
Epoch [329/3000], Discriminator Loss: 1.2611, Generator Loss: 0.8575
Epoch [330/3000], Discriminator Loss: 1.3532, Generator Loss: 0.7839
Epoch [331/3000], Discriminator Loss: 1.3010, Generator Loss: 0.7872
Epoch [332/3000], Discriminator Loss: 1.2645, Generator Loss: 0.8560
Epoch [333/3000], Discriminator Loss: 1.2669, Generator Loss: 0.8433
Epoch [334/3000], Discriminator Loss: 1.3042, Generator Loss: 0.8254
Epoch [335/3000], Discriminator Loss: 1.3014, Generator Loss: 0.7986
Epoch [336/3000], Discriminator Loss: 1.2828, Generator Loss: 0.7953
Epoch [337/3000], Discriminator Loss: 1.3446, Generator Loss: 0.7794
Epoch [338/3000], Discriminator Loss: 1.2790, Generator Loss: 0.8316
Epoch [339/3000], Discriminator Loss: 1.2910, Generator Loss: 0.8185
Epoch [340/3000], Discriminator Loss: 1.3601, Generator Loss: 0.7895
Epoch [341/3000], Discriminator Loss: 1.3267, Generator Loss: 0.7911
Epoch [342/3000], Discriminator Loss: 1.3094, Generator Loss: 0.7854
Epoch [343/3000], Discriminator Loss: 1.3247, Generator Loss: 0.7590
Epoch [344/3000], Discriminator Loss: 1.2912, Generator Loss: 0.8301
Epoch [345/3000], Discriminator Loss: 1.3196, Generator Loss: 0.8103
Epoch [346/3000], Discriminator Loss: 1.3332, Generator Loss: 0.8048
Epoch [347/3000], Discriminator Loss: 1.3157, Generator Loss: 0.8119
Epoch [348/3000], Discriminator Loss: 1.3167, Generator Loss: 0.7844
